ADDRESS,PRICE (K$),BEDROOMS,NEAREST_SCH_DIST,,,,,,,,,,,,
1 Bradstocks Grove,780,4,1.496349534,,,,,,,,,,,,
1 Bramley Way,520,3,1.526177504,,,,,,,,,,,,
1 Brassey Street,1100,3,0.571453884,,,,,,,,,,,,
1 Brentwood Way,590,5,3.964054249,,,,,,,,,,,,
1 Brilliant Rise,312,4,2.207307702,,,,,,,,,,,,
1 Briston Place,900,3,1.260227154,,,,,,,,,,,,
1 Bristow Street,177,3,1.003239944,,,,,,,,,,,,
1 Brittain Avenue,580,4,1.257943569,,,,,,,,,,,,
1 Brix Street,1310,4,0.910882078,,,,,,,,,,,,
1 Brixton Road,470,3,1.822111915,,,,,,,,,,,,
1 Bruning Road,717,3,0.583853986,,,,,,,,,,,,
1 Buckie Court,650,4,1.500365838,,,,,,,,,,,,
1 Bull Place,387,4,0.265398631,,,,,,,,,,,,
1 Bynder Lane,330,3,0.958686091,,,,,,,,,,,,
1 Cabarita Road,605,2,1.142802125,,,,,,,,,,,,
1 Cadiz Way,380,3,14.25708247,,,,,,,,,,,,
1 Caladenia Way,85,2,2.488743831,,,,,,,,,,,,
1 Cam Court,345,3,0.872777977,,,,,,,,,,,,
1 Camden Boulevard,528,4,2.757298788,,,,,,,,,,,,
1 Cameron Street,1350,4,1.133915617,,,,,,,,,,,,
1 Camira Place,735,4,2.964150431,,,,,,,,,,,,
1 Camrose Lane,442.5,4,0.90807912,,,,,,,,,,,,
1 Canarias Way,1015,3,1.17734603,,,,,,,,,,,,
1 Cannon Court,530,3,2.340057578,,,,,,,,,,,,
1 Canny Road,515,3,1.416253148,,,,,,,,,,,,
1 Carnegie Road,1100,4,1.518882478,,,,,,,,,,,,
1 Carroll Street,1265,4,0.645276943,,,,,,,,,,,,
1 Cartland Court,750,4,3.898177203,,,,,,,,,,,,
1 Caterpillar Road,472.5,4,2.094911833,,,,,,,,,,,,
1 Caxton Lane,392.5,4,1.136160905,,,,,,,,,,,,
1 Centaur Circle,900,4,0.831018999,,,,,,,,,,,,
1 Cessford Close,380,5,1.214505175,,,,,,,,,,,,
1 Challenger Avenue,590,3,0.98847821,,,,,,,,,,,,
1 Chamberlain Circle,835,4,0.80250226,,,,,,,,,,,,
1 Charleston Road,495,4,5.284579808,,,,,,,,,,,,
1 Chauvel Court,390,4,1.192517672,,,,,,,,,,,,
1 Chester Court,280,3,1.182257109,,,,,,,,,,,,
1 Chiddington Street,355,3,0.94452528,,,,,,,,,,,,
1 Chipala Court,465,4,1.742052381,,,,,,,,,,,,
1 Citrus Loop,372,3,1.529299582,,,,,,,,,,,,
1 Claret Ash Court,685,4,3.135863661,,,,,,,,,,,,
1 Clarke Street,360,3,0.66706852,,,,,,,,,,,,
1 Clearwater Way,320,4,2.245408525,,,,,,,,,,,,
1 Clifford Loop,492,3,0.866779698,,,,,,,,,,,,
1 Cliverton Court,974,5,1.857116986,,,,,,,,,,,,
1 Clovertree Street,435,4,1.645874346,,,,,,,,,,,,
1 Cobea Court,900,3,0.825896733,,,,,,,,,,,,
1 Cockman Road,405,3,0.600502427,,,,,,,,,,,,
1 Cohen Place,290,3,1.772153344,,,,,,,,,,,,
1 Collier Street,1160,2,0.828355781,,,,,,,,,,,,
1 Colmworth Way,415,3,0.478464315,,,,,,,,,,,,
1 Colonial Mews,525,4,0.275135216,,,,,,,,,,,,
1 Conical Way,629,4,0.705011533,,,,,,,,,,,,
1 Convallis Vista,600,4,3.089274716,,,,,,,,,,,,
1 Corbin Gate,427,3,1.096690947,,,,,,,,,,,,
1 Coronado Ridge,1015,5,1.364734634,,,,,,,,,,,,
1 Corvette Close,445,4,1.177835841,,,,,,,,,,,,
1 Craigie Place,610,4,1.85123134,,,,,,,,,,,,
1 Crest Grove,465,4,1.093248838,,,,,,,,,,,,
1 Creswick Cross,454,4,0.498502017,,,,,,,,,,,,
1 Criollo Place,380,3,2.339416225,,,,,,,,,,,,
1 Crivelli Parkway,382,4,3.125568727,,,,,,,,,,,,
1 Crowley Vista,1150,4,0.825074471,,,,,,,,,,,,
1 Curruthers Road,2200,2,1.335488696,,,,,,,,,,,,
1 Cypress Mews,375,4,1.362244876,,,,,,,,,,,,
1 Dagostino Road,495,4,0.923652274,,,,,,,,,,,,
1 Dalkey Way,445,3,0.308294072,,,,,,,,,,,,
1 Danzil Street,515,4,1.000877238,,,,,,,,,,,,
1 Datchet Turn,270,3,1.862234,,,,,,,,,,,,
1 David Street,780,5,1.909756021,,,,,,,,,,,,
1 Davis Court,1280,4,1.407735111,,,,,,,,,,,,
1 Daybreak Loop,410,4,1.834417864,,,,,,,,,,,,
1 Dean Place,425,4,0.965913853,,,,,,,,,,,,
1 Dean Road,599.9,3,1.191640886,,,,,,,,,,,,
1 Delphi Court,1330,3,1.246711777,,,,,,,,,,,,
1 Denton Street,732,3,1.895645261,,,,,,,,,,,,
1 Dermer Road,530,3,0.447866299,,,,,,,,,,,,
1 Deverell Way,465,3,1.026150637,,,,,,,,,,,,
1 Dilkera Place,380,3,0.868965622,,,,,,,,,,,,
1 Dirk Hartog Road,572,3,1.360938723,,,,,,,,,,,,
1 Discovery Circuit,1300,5,2.004713285,,,,,,,,,,,,
1 Disney Street,710.25,4,1.638101329,,,,,,,,,,,,
1 Dolomite Road,835,5,0.480123334,,,,,,,,,,,,
1 Dolphin Way,400,3,0.667723522,,,,,,,,,,,,
1 Doradeen Close,275,3,1.209319367,,,,,,,,,,,,
1 Doram Court,335,3,1.403763418,,,,,,,,,,,,
1 Driftwood Way,400,4,2.594560669,,,,,,,,,,,,
1 Driver Road,532,4,0.719530581,,,,,,,,,,,,
1 Dunbar Road,1700,3,1.04302095,,,,,,,,,,,,
1 Durant Way,820,3,1.542048155,,,,,,,,,,,,
1 Dutton Way,385,3,3.005511497,,,,,,,,,,,,
1 Duxford Street,427,4,0.890164439,,,,,,,,,,,,
1 East Street,660,2,0.657248104,,,,,,,,,,,,
1 Eastfield Court,250,3,1.571153648,,,,,,,,,,,,
1 Easton Court,508,4,2.091303843,,,,,,,,,,,,
1 Edelweiss Way,415,4,1.987841232,,,,,,,,,,,,
1 Edgecombe Pass,550,4,0.340289158,,,,,,,,,,,,
1 El Porto Way,935,4,2.811932288,,,,,,,,,,,,
1 Elfin Grove,380,3,0.767481717,,,,,,,,,,,,
1 Elvire Street,349,2,0.882476511,,,,,,,,,,,,
1 Empress Crescent,470,4,1.668099473,,,,,,,,,,,,
1 Epping Court,475,4,4.567599088,,,,,,,,,,,,
1 Ericht Pass,577.5,4,3.193656944,,,,,,,,,,,,
1 Estevan Way,490,4,0.862462185,,,,,,,,,,,,
1 Ethel Street,715,4,1.585287253,,,,,,,,,,,,
1 Etna Place,1100,4,1.158669082,,,,,,,,,,,,
1 Eudora Way,1130,4,2.772469998,,,,,,,,,,,,
1 Facey Road,340,4,4.193281125,,,,,,,,,,,,
1 Fairetha Court,720,4,1.640449703,,,,,,,,,,,,
1 Fairhaven Terrace,1075,4,0.996087493,,,,,,,,,,,,
1 Fallow Crescent,475,4,3.524725819,,,,,,,,,,,,
1 Fantail Drive,545,4,1.675110283,,,,,,,,,,,,
1 Farrington Street,317.5,4,0.971267691,,,,,,,,,,,,
1 Federal Street,465,3,0.880387756,,,,,,,,,,,,
1 Felpham Court,449,4,1.00425344,,,,,,,,,,,,
1 Ferguson Road,150,4,8.801104301,,,,,,,,,,,,
1 Ficarra Way,450,4,2.339293138,,,,,,,,,,,,
1 First Avenue,525,3,0.396606702,,,,,,,,,,,,
1 Fischer Road,900,4,1.017885879,,,,,,,,,,,,
1 Flello Rise,950,4,2.663422393,,,,,,,,,,,,
1 Flemington Way,375,3,1.9329279,,,,,,,,,,,,
1 Flint Close,522,4,0.88280015,,,,,,,,,,,,
1 Florey Place,464,4,0.895605369,,,,,,,,,,,,
1 Floribunda Gate,550,4,3.636457594,,,,,,,,,,,,
1 Forrest Court,490,4,0.979460751,,,,,,,,,,,,
1 Fort Street,560,2,0.391701266,,,,,,,,,,,,
1 Fortuna View,1160,4,2.224726447,,,,,,,,,,,,
1 Fortune Street,460,3,1.572451796,,,,,,,,,,,,
1 Fourth Avenue,872,4,1.181627789,,,,,,,,,,,,
1 Fran Court,335,3,0.39948513,,,,,,,,,,,,
1 Frederic Street,83,2,2.537533645,,,,,,,,,,,,
1 Freedman Road,925,4,0.777093655,,,,,,,,,,,,
1 Gaffin Way,330,3,0.439372574,,,,,,,,,,,,
1 Gali Lane,1930,4,1.760861961,,,,,,,,,,,,
1 Galilee Way,547,3,1.228238887,,,,,,,,,,,,
1 Gamay Court,533,4,3.706421588,,,,,,,,,,,,
1 Gannett Street,460,2,1.201104503,,,,,,,,,,,,
1 Genesta Place,405,4,8.416124395,,,,,,,,,,,,
1 Georges Close,1075,4,0.592588152,,,,,,,,,,,,
1 Gerygone Pass,465,3,2.566084751,,,,,,,,,,,,
1 Ghost Gum Boulevard,335,4,0.537154986,,,,,,,,,,,,
1 Gianatti Ramble,745,4,1.663004908,,,,,,,,,,,,
1 Gidgee Cove,385,3,0.781753309,,,,,,,,,,,,
1 Gilchrist Avenue,480,3,1.819736512,,,,,,,,,,,,
1 Gillespie Court,330,3,1.580597712,,,,,,,,,,,,
1 Gillon Road,520,4,2.196836132,,,,,,,,,,,,
1 Giudice Way,885,4,1.57992705,,,,,,,,,,,,
1 Glasson Way,610,4,0.642499771,,,,,,,,,,,,
1 Glebe Close,830,4,0.935167539,,,,,,,,,,,,
1 Glenelg Street,825,4,0.812095885,,,,,,,,,,,,
1 Gloucester Road,485,4,1.131607206,,,,,,,,,,,,
1 Gloucester Street,980,4,0.758930824,,,,,,,,,,,,
1 Gold Lane,769,5,2.814006509,,,,,,,,,,,,
1 Goldsmith Drive,900,4,1.347217423,,,,,,,,,,,,
1 Gordon Place,410,3,1.386782726,,,,,,,,,,,,
1 Gorman Place,475,4,1.320656152,,,,,,,,,,,,
1 Graduate Place,385,4,1.348773697,,,,,,,,,,,,
1 Grahame Street,385,4,0.840697792,,,,,,,,,,,,
1 Grancey Avenue,650,2,2.204977612,,,,,,,,,,,,
1 Grant Street,730,5,0.898705012,,,,,,,,,,,,
1 Gray Road,560,5,2.862044866,,,,,,,,,,,,
1 Gray Road,720,4,1.083783421,,,,,,,,,,,,
1 Green Street,505,3,0.534727888,,,,,,,,,,,,
1 Greygum Rise,362.5,5,0.959997637,,,,,,,,,,,,
1 Grid Court,487,3,0.259519226,,,,,,,,,,,,
1 Grimsay Road,600,3,0.55208455,,,,,,,,,,,,
1 Grove End Ridge,1675,4,0.545365263,,,,,,,,,,,,
1 Grove Street,315,3,2.300003886,,,,,,,,,,,,
1 Guy Place,990,3,1.021257674,,,,,,,,,,,,
1 Hadlow Court,428,4,0.870366007,,,,,,,,,,,,
1 Halleendale Road,620,4,1.627588919,,,,,,,,,,,,
1 Hamlyn Glen,405,3,0.518001268,,,,,,,,,,,,
1 Hanrahan Loop,643,4,0.980934566,,,,,,,,,,,,
1 Hansen Vista,538,5,0.650365382,,,,,,,,,,,,
1 Hardey Road,375,4,11.11406716,,,,,,,,,,,,
1 Harrier Way,395,3,1.155310278,,,,,,,,,,,,
1 Hartle Lane,311.85,4,1.21498862,,,,,,,,,,,,
1 Hartley Street,499,4,0.604665643,,,,,,,,,,,,
1 Hartwell Parade,620,4,0.916090585,,,,,,,,,,,,
1 Harwood Pass,660,5,3.49539905,,,,,,,,,,,,
1 Harwood Street,560.003,3,1.188337478,,,,,,,,,,,,
1 Hazlett Close,481,4,0.862769856,,,,,,,,,,,,
1 Hebb Court,635,3,3.601245646,,,,,,,,,,,,
1 Henderson Road,430,3,2.042246832,,,,,,,,,,,,
1 Hennessy Drive,430,4,3.183963976,,,,,,,,,,,,
1 Henrietta Court,727,4,4.646060583,,,,,,,,,,,,
1 Henty Court,450,4,0.602731373,,,,,,,,,,,,
1 Herbert Road,910,2,0.866979288,,,,,,,,,,,,
1 Heslop Road,705,5,0.677286108,,,,,,,,,,,,
1 Hewlett Turn,470,4,2.104618347,,,,,,,,,,,,
1 Hillcrest Drive,474,3,1.213863449,,,,,,,,,,,,
1 Hilliger Turn,515,4,3.307926502,,,,,,,,,,,,
1 Hilltop Close,272.5,3,3.546323002,,,,,,,,,,,,
1 Hilltop Place,492.5,4,0.83888664,,,,,,,,,,,,
1 Hillwater Promenade,565,4,1.832781512,,,,,,,,,,,,
1 Hitek Court,280,4,0.584669692,,,,,,,,,,,,
1 Holmesdale Road,575,3,0.803934111,,,,,,,,,,,,
1 Holywell Street,495,4,0.875990036,,,,,,,,,,,,
1 Honister Close,290,4,0.682740154,,,,,,,,,,,,
1 Hood Street,365,3,2.04461126,,,,,,,,,,,,
1 Horsemans View,670,5,6.096922304,,,,,,,,,,,,
1 Hulbert Street,1200,4,1.397994251,,,,,,,,,,,,
1 Huntington Road,910,3,3.625613581,,,,,,,,,,,,
1 Hydra Close,340,3,0.932562349,,,,,,,,,,,,
1 Hynes Road,1800,4,1.677241544,,,,,,,,,,,,
1 INGODA LINK,650,5,1.405372823,,,,,,,,,,,,
1 Ingot Lane,492,4,0.646108776,,,,,,,,,,,,
1 Iona Place,543.8,4,0.488403688,,,,,,,,,,,,
1 Irma Way,360,4,1.021665761,,,,,,,,,,,,
1 Ironcap Grove,305,4,6.035286553,,,,,,,,,,,,
1 Ivythorne Grove,210,3,0.534034734,,,,,,,,,,,,
1 Jacolite Street,530,4,0.748265069,,,,,,,,,,,,
1 Jade Grove,480,4,0.740029245,,,,,,,,,,,,
1 Jaffa Close,375,3,0.762653168,,,,,,,,,,,,
1 Jamaican Road,372.5,3,0.539521904,,,,,,,,,,,,
1 Jameson Street,980,3,0.922865215,,,,,,,,,,,,
1 Jaraba Avenue,1400,3,1.78150096,,,,,,,,,,,,
1 Jarrah Lane,1210,3,1.180421191,,,,,,,,,,,,
1 Jaywick Close,435,4,1.347902844,,,,,,,,,,,,
1 Jecks Street,508,4,2.209908563,,,,,,,,,,,,
1 Jeffrey Loop,315,4,1.041252367,,,,,,,,,,,,
1 Jib Court,740,3,1.175351982,,,,,,,,,,,,
1 Jindabyne Street,493,4,0.795619919,,,,,,,,,,,,
1 Johnson Avenue,561,2,1.418764951,,,,,,,,,,,,
1 Jolimont Terrace,1100,3,1.895207167,,,,,,,,,,,,
1 Josbury Corner,605,4,0.984299044,,,,,,,,,,,,
1 Jura Court,575,3,1.241765866,,,,,,,,,,,,
1 Jurien Close,301,4,1.311800134,,,,,,,,,,,,
1 Kadi Court,380,3,0.405604556,,,,,,,,,,,,
1 Kalara Road,350,3,2.1983245,,,,,,,,,,,,
1 Kalara Way,172,3,2.156922947,,,,,,,,,,,,
1 Kalbarri Pass,725,4,3.103587061,,,,,,,,,,,,
1 Kangaroo Entrance,255,3,2.633813475,,,,,,,,,,,,
1 Kartner Road,500,4,3.041216733,,,,,,,,,,,,
1 Kennack Vista,617.5,4,0.515424725,,,,,,,,,,,,
1 Kensington Street,520,3,1.61548749,,,,,,,,,,,,
1 Kent Street,300,3,0.411988195,,,,,,,,,,,,
1 Kevin Street,533,3,2.624946764,,,,,,,,,,,,
1 Kilmurray Elbow,415,4,2.139057384,,,,,,,,,,,,
1 Kinkuna Way,1645,5,1.935451945,,,,,,,,,,,,
1 Kirkcolm Way,655,4,1.627638297,,,,,,,,,,,,
1 Kirke Cove,307,4,0.386834985,,,,,,,,,,,,
1 Kirkstall Way,405,2,1.749814367,,,,,,,,,,,,
1 Knaphill Heights,458,6,1.499333773,,,,,,,,,,,,
1 Kookaburra Terrace,335,4,1.07975882,,,,,,,,,,,,
1 Kooralbyn Way,745,4,0.945354592,,,,,,,,,,,,
1 Kutcharo Crescent,451,3,1.578945271,,,,,,,,,,,,
1 Kyby Place,719,4,0.929005623,,,,,,,,,,,,
1 Kyle Place,726,4,2.119756454,,,,,,,,,,,,
1 Lambeth Mews,2150,5,0.685840418,,,,,,,,,,,,
1 Lanark Street,875,2,1.297125739,,,,,,,,,,,,
1 Langham Street,1200,4,1.526827422,,,,,,,,,,,,
1 Lark Court,325,3,0.689313841,,,,,,,,,,,,
1 Lark Mews,550,3,1.385074807,,,,,,,,,,,,
1 Lauder Place,525,4,3.28160996,,,,,,,,,,,,
1 Laughton Way,577,3,1.211184201,,,,,,,,,,,,
1 Lee Street,305,3,1.664580732,,,,,,,,,,,,
1 Leigh Court,410,3,1.399561138,,,,,,,,,,,,
1 Lena Street,385,4,1.35216116,,,,,,,,,,,,
1 Lennoxtown Road,650,5,1.094741176,,,,,,,,,,,,
1 Letchworth Centre Avenue,1000,4,0.766210519,,,,,,,,,,,,
1 Librizzi Parade,530,4,2.375086858,,,,,,,,,,,,
1 Lilypond Court,555,5,1.576298217,,,,,,,,,,,,
1 Lindeman Heights,430,4,0.927202753,,,,,,,,,,,,
1 Linnett Brace,550,4,0.549411195,,,,,,,,,,,,
1 Lintonmarc Drive,555,4,1.912850448,,,,,,,,,,,,
1 Litchfield Crescent,565,3,1.286087619,,,,,,,,,,,,
1 Little Lefroy Lane,950,3,1.270242671,,,,,,,,,,,,
1 Lorient Close,800,4,1.726958607,,,,,,,,,,,,
1 Love Street,625,4,0.937249254,,,,,,,,,,,,
1 Luhrs Court,675,4,0.99999259,,,,,,,,,,,,
1 Luke Place,580,4,1.529443412,,,,,,,,,,,,
1 Lundy Cove,365,4,0.240630062,,,,,,,,,,,,
1 Macdonald Road,990,3,2.009498609,,,,,,,,,,,,
1 Mackie Place,375,4,1.170150835,,,,,,,,,,,,
1 Maidos Street,358,3,0.951161627,,,,,,,,,,,,
1 MAJORELLE WAY,279.5,4,5.598316989,,,,,,,,,,,,
1 Mal Bay Court,660,4,0.935310037,,,,,,,,,,,,
1 Malcolm Street,1980,2,2.239538254,,,,,,,,,,,,
1 Maley Court,435,4,0.6337537,,,,,,,,,,,,
1 Malibu Entrance,1500,5,2.329002118,,,,,,,,,,,,
1 Malone Mews,299,4,0.374895015,,,,,,,,,,,,
1 Manhattan Concourse,445,3,3.771691812,,,,,,,,,,,,
1 Mannaw Place,315,4,1.094105681,,,,,,,,,,,,
1 Mannix Pass,500,4,0.803939242,,,,,,,,,,,,
1 Marconi Street,650,3,0.263275189,,,,,,,,,,,,
1 Mardja Loop,270,4,4.341164004,,,,,,,,,,,,
1 Margaret Road,700,4,1.250399678,,,,,,,,,,,,
1 Marich Cove,442,3,1.400675865,,,,,,,,,,,,
1 Maritana Road,470,3,0.963603171,,,,,,,,,,,,
1 Marker Road,940.25,5,0.758898161,,,,,,,,,,,,
1 Markham Place,375,3,1.771542346,,,,,,,,,,,,
1 Maroma Loop,672.5,4,3.447725222,,,,,,,,,,,,
1 Martin Avenue,400,3,1.69239497,,,,,,,,,,,,
1 Mayhill Place,445,3,1.987985524,,,,,,,,,,,,
1 McBain Court,468,4,1.398161833,,,,,,,,,,,,
1 Mcdermott Road,145.7,3,0.526369813,,,,,,,,,,,,
1 McKenna Glen,1050,4,0.827593954,,,,,,,,,,,,
1 McKenzie Corner,470,4,0.769377359,,,,,,,,,,,,
1 McNairn Cross,325,4,1.28405112,,,,,,,,,,,,
1 Meadow Place,360,3,0.849416662,,,,,,,,,,,,
1 Meares Avenue,220,4,0.268128811,,,,,,,,,,,,
1 Mears Way,276,3,0.883712803,,,,,,,,,,,,
1 Medawar Loop,618,4,2.964235087,,,,,,,,,,,,
1 Meldrum Loop,330,4,1.576166488,,,,,,,,,,,,
1 Melissa Street,950,4,0.511555278,,,,,,,,,,,,
1 Melita Drive,464,3,3.005241463,,,,,,,,,,,,
1 Melrose Crescent,1365,4,0.917309656,,,,,,,,,,,,
1 Memorial Avenue,1500,3,2.640206935,,,,,,,,,,,,
1 Mercer Place,300,3,0.260842116,,,,,,,,,,,,
1 Merley Crescent,1720,4,1.680827296,,,,,,,,,,,,
1 Merlot Court,455,4,3.737519634,,,,,,,,,,,,
1 Milina Street,278,3,0.724888151,,,,,,,,,,,,
1 Mingara Avenue,1200,4,0.43917064,,,,,,,,,,,,
1 Mission Place,430,4,1.702445206,,,,,,,,,,,,
1 Moira Mews,365,4,2.756971881,,,,,,,,,,,,
1 Monarch Way,486,3,3.18344072,,,,,,,,,,,,
1 Montana Crescent,430,3,3.850674158,,,,,,,,,,,,
1 Montrose Way,300,3,1.681513763,,,,,,,,,,,,
1 Moody Glen,740,5,1.783510383,,,,,,,,,,,,
1 Moseley Drive,859,4,2.155503816,,,,,,,,,,,,
1 Mosman Loop,540,4,2.168173195,,,,,,,,,,,,
1 Mottee Road,778,4,0.383748383,,,,,,,,,,,,
1 Mudalla Way,385,3,2.076610013,,,,,,,,,,,,
1 Mulberry Lane,410,2,0.988504627,,,,,,,,,,,,
1 Mulgrave Loop,610,5,0.259845507,,,,,,,,,,,,
1 Myhill Mews,215,3,1.348950426,,,,,,,,,,,,
1 Namoi Street,595,4,2.738270232,,,,,,,,,,,,
1 Nardie Place,320,3,0.937518331,,,,,,,,,,,,
1 Narla Place,262,2,1.773487244,,,,,,,,,,,,
1 Nettia Place,525,4,2.249260961,,,,,,,,,,,,
1 New Ross Lane,1050,4,0.231440337,,,,,,,,,,,,
1 Newman Place,370,7,0.566107956,,,,,,,,,,,,
1 Newmarket Retreat,540,4,0.823110109,,,,,,,,,,,,
1 newquay Street,462.5,4,0.835369258,,,,,,,,,,,,
1 Niagara Cove,438,5,1.612272657,,,,,,,,,,,,
1 Nicholas Crescent,467.5,2,1.110262847,,,,,,,,,,,,
1 Nobilis Street,500,4,1.804335272,,,,,,,,,,,,
1 Norfolk Rise,1900,5,0.419887437,,,,,,,,,,,,
1 Northerly Avenue,854,3,2.852495484,,,,,,,,,,,,
1 Nundah Court,520,3,1.513045875,,,,,,,,,,,,
1 Nyjong Street,350,4,0.996978293,,,,,,,,,,,,
1 Oakwood Court,475,4,1.721706311,,,,,,,,,,,,
1 Oban Court,1115,4,1.493580156,,,,,,,,,,,,
1 Odell Court,800,4,0.859535382,,,,,,,,,,,,
1 Odell Street,385,4,0.48231092,,,,,,,,,,,,
1 Odessa Place,550,4,0.408051603,,,,,,,,,,,,
1 Offord Street,176.5,3,0.327244765,,,,,,,,,,,,
1 Ollera Meander,435,4,2.177203935,,,,,,,,,,,,
1 Ollis Street,360,4,2.177071223,,,,,,,,,,,,
1 O'Mara Boulevard,625,4,2.361965537,,,,,,,,,,,,
1 Orange Valley Road,582.5,3,0.139951168,,,,,,,,,,,,
1 Orsulich Loop,408,3,3.192408015,,,,,,,,,,,,
1 Otway Street,2302.5,5,0.31862657,,,,,,,,,,,,
1 Palos Court,680,4,0.744964533,,,,,,,,,,,,
1 Parish Lane,1400,4,0.647269505,,,,,,,,,,,,
1 Park Lane,610,4,0.889673936,,,,,,,,,,,,
1 Parkwood Avenue,554.5,3,1.829778429,,,,,,,,,,,,
1 Peaceful Close,420,4,1.164068658,,,,,,,,,,,,
1 Pearson Crescent,950,6,1.094363236,,,,,,,,,,,,
1 Pedalstone Drive,705,4,0.448427156,,,,,,,,,,,,
1 Peet Crescent,780,3,1.122063745,,,,,,,,,,,,
1 Pelion Court,505,4,1.120621902,,,,,,,,,,,,
1 Penn Lane,515,4,2.235552418,,,,,,,,,,,,
1 Penson Street,345,3,2.544459544,,,,,,,,,,,,
1 Pera Mews,460,4,1.181243994,,,,,,,,,,,,
1 Peter Way,1778,5,0.703482647,,,,,,,,,,,,
1 Piermont Avenue,900,4,3.296834641,,,,,,,,,,,,
1 Pimelea Rise,495,4,1.042611784,,,,,,,,,,,,
1 Pixie Place,395,5,6.600989337,,,,,,,,,,,,
1 Platypus Parkway,605,4,1.515613187,,,,,,,,,,,,
1 Plover Way,625,3,0.679495096,,,,,,,,,,,,
1 Poinsettia Grove,499,4,1.168552874,,,,,,,,,,,,
1 Point Link,595,4,6.239038372,,,,,,,,,,,,
1 Polglase Fairway,379,4,0.46625525,,,,,,,,,,,,
1 Portland Way,520,4,1.423631164,,,,,,,,,,,,
1 Portsea Gardens,912,4,1.226895953,,,,,,,,,,,,
1 Presto Close,475,4,1.267385606,,,,,,,,,,,,
1 Printer Street,560,2,1.730855862,,,,,,,,,,,,
1 Punai Place,1000,5,1.772471691,,,,,,,,,,,,
1 Pursuit Close,407,4,1.990857426,,,,,,,,,,,,
1 Purvis Street,470,3,1.206375502,,,,,,,,,,,,
1 Quail Place,440,4,1.023862383,,,,,,,,,,,,
1 Quenda Close,520,4,0.846124306,,,,,,,,,,,,
