Year took over,Prime minister,Party,Second PM that year,Party
1792,"William Pitt, the Younger",Tory,,
1793,"William Pitt, the Younger",Tory,,
1794,"William Pitt, the Younger",Tory,,
1795,"William Pitt, the Younger",Tory,,
1796,"William Pitt, the Younger",Tory,,
1797,"William Pitt, the Younger",Tory,,
1798,"William Pitt, the Younger",Tory,,
1799,"William Pitt, the Younger",Tory,,
1800,"William Pitt, the Younger",Tory,,
1801,Henry Addington,Tory,,
1802,Henry Addington,Tory,,
1803,Henry Addington,Tory,,
1804,"William Pitt, the Younger",Tory,,
1805,"William Pitt, the Younger",Tory,,
1806,"William Grenville, Lord Grenville",Whig,,
1807,"William Bentinck, Duke of Portland",Tory,,
1808,"William Bentinck, Duke of Portland",Tory,,
1809,Spencer Perceval,Tory,,
1810,Spencer Perceval,Tory,,
1811,Spencer Perceval,Tory,,
1812,"Robert Jenkinson, Earl of Liverpool",Tory,,
1813,"Robert Jenkinson, Earl of Liverpool",Tory,,
1814,"Robert Jenkinson, Earl of Liverpool",Tory,,
1815,"Robert Jenkinson, Earl of Liverpool",Tory,,
1816,"Robert Jenkinson, Earl of Liverpool",Tory,,
1817,"Robert Jenkinson, Earl of Liverpool",Tory,,
1818,"Robert Jenkinson, Earl of Liverpool",Tory,,
1819,"Robert Jenkinson, Earl of Liverpool",Tory,,
1820,"Robert Jenkinson, Earl of Liverpool",Tory,,
1821,"Robert Jenkinson, Earl of Liverpool",Tory,,
1822,"Robert Jenkinson, Earl of Liverpool",Tory,,
1823,"Robert Jenkinson, Earl of Liverpool",Tory,,
1824,"Robert Jenkinson, Earl of Liverpool",Tory,,
1825,"Robert Jenkinson, Earl of Liverpool",Tory,,
1826,"Robert Jenkinson, Earl of Liverpool",Tory,,
1827,"Frederick Robinson, Viscount Goderich",Tory,George Canning,Tory
1828,"Arthur Wellesley, Duke of Wellington",Tory,,
1829,"Arthur Wellesley, Duke of Wellington",Tory,,
1830,"Charles Grey, Earl Grey",Whig,,
1831,"Charles Grey, Earl Grey",Whig,,
1832,"Charles Grey, Earl Grey",Whig,,
1833,"Charles Grey, Earl Grey",Whig,,
1834,Sir Robert Peel,Tory,"Arthur Wellesley, Duke of Wellington",Tory
1835,"William Lamb, Viscount Melbourne",Whig,,
1836,"William Lamb, Viscount Melbourne",Whig,,
1837,"William Lamb, Viscount Melbourne",Whig,,
1838,"William Lamb, Viscount Melbourne",Whig,,
1839,"William Lamb, Viscount Melbourne",Whig,,
1840,"William Lamb, Viscount Melbourne",Whig,,
1841,Sir Robert Peel,Tory,,
1842,Sir Robert Peel,Tory,,
1843,Sir Robert Peel,Tory,,
1844,Sir Robert Peel,Tory,,
1845,Sir Robert Peel,Tory,,
1846,Lord John Russell,Whig,,
1847,Lord John Russell,Whig,,
1848,Lord John Russell,Whig,,
1849,Lord John Russell,Whig,,
1850,Lord John Russell,Whig,,
1851,Lord John Russell,Whig,,
1852,"Edward Stanley, Earl of Derby",Conservative,"George Hamilton-Gordon, Earl of Aberdeen",Conservative
1853,"George Hamilton-Gordon, Earl of Aberdeen",Conservative,,
1854,"George Hamilton-Gordon, Earl of Aberdeen",Conservative,,
1855,Viscount Palmerston,Liberal,,
1856,Viscount Palmerston,Liberal,,
1857,Viscount Palmerston,Liberal,,
1858,Viscount Palmerston,Liberal,"Edward Stanley, Earl of Derby",Conservative
1859,Viscount Palmerston,Liberal,,
1860,Viscount Palmerston,Liberal,,
1861,Viscount Palmerston,Liberal,,
1862,Viscount Palmerston,Liberal,,
1863,Viscount Palmerston,Liberal,,
1864,Viscount Palmerston,Liberal,,
1865,"John Russell, Earl Russell",Liberal,,
1866,"Edward Stanley, Earl of Derby",Conservative,,
1867,"Edward Stanley, Earl of Derby",Conservative,,
1868,Benjamin Disraeli,Conservative,William Ewart Gladstone,Liberal
1869,William Ewart Gladstone,Liberal,,
1870,William Ewart Gladstone,Liberal,,
1871,William Ewart Gladstone,Liberal,,
1872,William Ewart Gladstone,Liberal,,
1873,William Ewart Gladstone,Liberal,,
1874,Benjamin Disraeli,Conservative,,
1875,Benjamin Disraeli,Conservative,,
1876,Benjamin Disraeli,Conservative,,
1877,Benjamin Disraeli,Conservative,,
1878,Benjamin Disraeli,Conservative,,
1879,Benjamin Disraeli,Conservative,,
1880,William Ewart Gladstone,Liberal,,
1881,William Ewart Gladstone,Liberal,,
1882,William Ewart Gladstone,Liberal,,
1883,William Ewart Gladstone,Liberal,,
1884,William Ewart Gladstone,Liberal,,
1885,Marquess of Salisbury,Conservative,,
1886,William Ewart Gladstone,Liberal,Marquess of Salisbury,Conservative
1887,Marquess of Salisbury,Conservative,,
1888,Marquess of Salisbury,Conservative,,
1889,Marquess of Salisbury,Conservative,,
1890,Marquess of Salisbury,Conservative,,
1891,Marquess of Salisbury,Conservative,,
1892,William Ewart Gladstone,Liberal,,
1893,William Ewart Gladstone,Liberal,,
1894,Earl of Rosebery,Liberal,,
1895,Marquess of Salisbury,Conservative,,
1896,Marquess of Salisbury,Conservative,,
1897,Marquess of Salisbury,Conservative,,
1898,Marquess of Salisbury,Conservative,,
1899,Marquess of Salisbury,Conservative,,
1900,Marquess of Salisbury,Conservative,,
1901,Marquess of Salisbury,Conservative,,
1902,Arthur Balfour,Conservative,,
1903,Arthur Balfour,Conservative,,
1904,Arthur Balfour,Conservative,,
1905,Henry Campbell-Bannerman,Liberal,,
1906,Henry Campbell-Bannerman,Liberal,,
1907,Henry Campbell-Bannerman,Liberal,,
1908,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1909,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1910,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1911,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1912,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1913,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1914,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1915,Herbert H. Asquith,"Liberal (Coalition Government, 1915)",,
1916,David Lloyd George,Liberal (Coalition Government),,
1917,David Lloyd George,Liberal (Coalition Government),,
1918,David Lloyd George,Liberal (Coalition Government),,
1919,David Lloyd George,Liberal (Coalition Government),,
1920,David Lloyd George,Liberal (Coalition Government),,
1921,David Lloyd George,Liberal (Coalition Government),,
1922,Andrew Bonar Law,Conservative,,
1923,Stanley Baldwin,Conservative,,
1924,Stanley Baldwin,Conservative,James Ramsay MacDonald,Labour
1925,Stanley Baldwin,Conservative,,
1926,Stanley Baldwin,Conservative,,
1927,Stanley Baldwin,Conservative,,
1928,Stanley Baldwin,Conservative,,
1929,James Ramsay MacDonald,Labour,,
1930,James Ramsay MacDonald,Labour,,
1931,James Ramsay MacDonald,National Labour (National Government),,
1932,James Ramsay MacDonald,National Labour (National Government),,
1933,James Ramsay MacDonald,National Labour (National Government),,
1934,James Ramsay MacDonald,National Labour (National Government),,
1935,Stanley Baldwin,Conservative (National Government),,
1936,Stanley Baldwin,Conservative (National Government),,
1937,Neville Chamberlain,Conservative (National Government),,
1938,Neville Chamberlain,Conservative (National Government),,
1939,Neville Chamberlain,Conservative (National Government),,
1940,Winston Churchill,Conservative (Coalition Government),,
1941,Winston Churchill,Conservative (Coalition Government),,
1942,Winston Churchill,Conservative (Coalition Government),,
1943,Winston Churchill,Conservative (Coalition Government),,
1944,Winston Churchill,Conservative (Coalition Government),,
1945,Clement Attlee,Labour,,
1946,Clement Attlee,Labour,,
1947,Clement Attlee,Labour,,
1948,Clement Attlee,Labour,,
1949,Clement Attlee,Labour,,
1950,Clement Attlee,Labour,,
1951,Winston Churchill,Conservative,,
1952,Winston Churchill,Conservative,,
1953,Winston Churchill,Conservative,,
1954,Winston Churchill,Conservative,,
1955,Sir Anthony Eden,Conservative,,
1956,Sir Anthony Eden,Conservative,,
1957,Harold Macmillan,Conservative,,
1958,Harold Macmillan,Conservative,,
1959,Harold Macmillan,Conservative,,
1960,Harold Macmillan,Conservative,,
1961,Harold Macmillan,Conservative,,
1962,Harold Macmillan,Conservative,,
1963,Sir Alec Douglas-Home,Conservative,,
1964,Harold Wilson,Labour,,
1965,Harold Wilson,Labour,,
1966,Harold Wilson,Labour,,
1967,Harold Wilson,Labour,,
1968,Harold Wilson,Labour,,
1969,Harold Wilson,Labour,,
1970,Edward Heath,Conservative,,
1971,Edward Heath,Conservative,,
1972,Edward Heath,Conservative,,
1973,Edward Heath,Conservative,,
1974,Harold Wilson,Labour,,
1975,Harold Wilson,Labour,,
1976,James Callaghan,Labour,,
1977,James Callaghan,Labour,,
1978,James Callaghan,Labour,,
1979,Margaret Thatcher,Conservative,,
1980,Margaret Thatcher,Conservative,,
1981,Margaret Thatcher,Conservative,,
1982,Margaret Thatcher,Conservative,,
1983,Margaret Thatcher,Conservative,,
1984,Margaret Thatcher,Conservative,,
1985,Margaret Thatcher,Conservative,,
1986,Margaret Thatcher,Conservative,,
1987,Margaret Thatcher,Conservative,,
1988,Margaret Thatcher,Conservative,,
1989,Margaret Thatcher,Conservative,,
1990,John Major,Conservative,,
1991,John Major,Conservative,,
1992,John Major,Conservative,,
1993,John Major,Conservative,,
1994,John Major,Conservative,,
1995,John Major,Conservative,,
1996,John Major,Conservative,,
1997,Tony Blair,Labour,,
1998,Tony Blair,Labour,,
1999,Tony Blair,Labour,,
2000,Tony Blair,Labour,,
2001,Tony Blair,Labour,,
2002,Tony Blair,Labour,,
2003,Tony Blair,Labour,,
2004,Tony Blair,Labour,,
2005,Tony Blair,Labour,,
2006,Tony Blair,Labour,,
2007,Gordon Brown,Labour,,
2008,Gordon Brown,Labour,,
2009,Gordon Brown,Labour,,
2010,David Cameron,Conservative/ Liberal coalition,,
SOURCE: ,KEELE UNIVERSITY,,,
DATALINK,http://www.politicsresources.net/area/uk/pm.htm,,,
