Date,Rain (mm),Temperature (°C),Wind Speed (km/h),Relative Humidity (%),Pressure (hPa)
31/03/2024,0,12.9,25.6,57,990
01/04/2024,0.6,8.4,11,88,987.2
02/04/2024,0.1,10.9,11.8,67,996.6
03/04/2024,0.2,11.9,14.8,88,987.8
04/04/2024,0.1,11.4,3.8,68,995.6
05/04/2024,1.2,15.4,31.3,67,991.6
06/04/2024,0,17.8,38.4,59,988.7
07/04/2024,0,14.8,36.7,60,994.6
08/04/2024,0.2,14.5,22.1,64,996.2
09/04/2024,2,7.6,35,88,997.2
10/04/2024,1.3,9.4,26,89,1013.2
11/04/2024,0,16.5,15.8,66,1021.2
12/04/2024,0,15.2,20.4,71,1019.4
13/04/2024,0,14.2,24.8,74,1011.6
14/04/2024,0.2,11.3,19.5,54,1015.6
15/04/2024,0.4,8.4,40,64,997.2
16/04/2024,0,11.6,20.8,59,1008.6
17/04/2024,0,9.4,25.8,53,1010.3
18/04/2024,0,10,23.1,58,1016.1
19/04/2024,0,12.4,22.7,65,1011.8
20/04/2024,0,11.8,13.8,49,1023.7
21/04/2024,0,9.4,13.2,56,1027
22/04/2024,0,10.8,4.8,82,1021.4
23/04/2024,0,10.4,15.4,55,1019
24/04/2024,0,9.7,11,50,1011.7
25/04/2024,0.1,10.1,10.7,63,996.8
26/04/2024,0.2,10.1,7.9,47,999.1
27/04/2024,0,10.4,16.3,57,1000.2
28/04/2024,0.2,9.3,20.1,67,998
29/04/2024,0.2,12.4,28.1,64,1004
30/04/2024,0,15.8,26.1,57,1002.3
01/05/2024,0.1,16.9,3.7,62,1004
02/05/2024,0,18.6,31.7,66,995.9
03/05/2024,0,13.8,9.9,76,1001
04/05/2024,0.1,12.1,15.6,83,1003.9
05/05/2024,0,17.4,4.3,53,1001.3
06/05/2024,0,17.6,6.9,66,1003.2
07/05/2024,0,17.2,9.9,64,1017.9
08/05/2024,0.2,18,14.8,67,1021.9
09/05/2024,0,17.3,5.6,68,1020.8
10/05/2024,0,21.4,7.8,59,1018
11/05/2024,0,21.1,13.3,52,1015.3
12/05/2024,0,22,17.5,58,1006.6
13/05/2024,0,18.9,27.2,57,998.3
14/05/2024,0.1,16.5,13.9,81,993.6
15/05/2024,0.3,16.7,11.6,74,999.3
16/05/2024,0.5,16.4,9.5,75,999.6
17/05/2024,0,19.1,8.2,59,1004.6
18/05/2024,0,20.4,13.2,63,1009.2
19/05/2024,0,19.9,13.9,49,1010.8
20/05/2024,0,17.9,10.6,61,1009.9
21/05/2024,0,17.3,6.7,62,1004.8
22/05/2024,2.1,14.3,14.5,91,999
23/05/2024,0.3,12.2,27.4,84,1004.8
24/05/2024,0.1,13.4,9.5,74,1012.2
25/05/2024,0,18,16.9,55,1010.9
26/05/2024,0.4,14.9,9.2,81,1002.8
27/05/2024,0.1,13.8,11.6,74,1006.6
28/05/2024,0,15,23.3,85,1001.3
29/05/2024,0.4,15.1,21.9,74,1002
30/05/2024,0,16.9,20.1,68,1005.3
31/05/2024,0,17,16.1,56,1016.3
01/06/2024,0,17,14.9,59,1021.8
02/06/2024,0,16.4,18.8,64,1022.4
03/06/2024,0.1,16.5,17.7,76,1015.5
04/06/2024,0.5,13.9,19.3,86,1001.6
05/06/2024,0.2,12.5,26.8,58,1007
06/06/2024,0,14.4,19.2,55,1011
07/06/2024,0.1,14.4,20.2,66,1010.5
08/06/2024,0.2,14.1,23.8,60,1006.6
09/06/2024,0.2,11.1,20,79,1006.4
10/06/2024,0,14.5,17.5,57,1007.3
11/06/2024,0.1,12.7,12.2,65,1013.4
12/06/2024,0.1,13.1,16,62,1015.2
13/06/2024,0,14.1,20.9,64,1003.8
14/06/2024,0.8,15,17.5,76,992
15/06/2024,0.6,11.6,13.7,84,990.6
16/06/2024,0.2,16,17.4,70,994.9
17/06/2024,0.4,16,19.3,69,1003.6
18/06/2024,0.1,16.5,9.5,67,1009.7
19/06/2024,0,16.8,0,59,1017.7
20/06/2024,0,18.5,6.7,65,1014.8
21/06/2024,0,19.9,18.2,58,1005.5
22/06/2024,0,17.7,16.3,62,1006.6
23/06/2024,0.2,19.1,10.9,75,1013.8
24/06/2024,0,22.9,7.6,61,1013
25/06/2024,0,24.1,6,63,1011
26/06/2024,0,24.5,14.5,54,1006.5
27/06/2024,0,19,26.2,54,1000.3
28/06/2024,0.4,15.8,26.3,66,1008.7
29/06/2024,0,15.9,9.4,72,1008.6
30/06/2024,0.2,14.8,15.1,70,1008.7
01/07/2024,0.2,14.9,22.8,75,1011.8
02/07/2024,0.1,16.4,20.9,59,1013.3
03/07/2024,0,17.5,16.8,59,999.1
04/07/2024,0.1,15.4,32.8,57,1001.4
05/07/2024,0,16.5,16.9,55,1000.2
06/07/2024,0.1,14.9,23.2,63,994.7
07/07/2024,0.7,13,8,82,1001.7
08/07/2024,0,18,6.1,53,1009
09/07/2024,0.2,17.9,11.9,86,1001.4
10/07/2024,1.3,18,20.1,76,1002.7
11/07/2024,0,15.9,8.9,75,1012.4
12/07/2024,0.3,14.7,10.2,74,1013.1
13/07/2024,0.3,15.3,9.9,73,1007.8
14/07/2024,0.3,16.9,10.9,74,1005.7
15/07/2024,0,20.1,10.7,58,1002.7
16/07/2024,0,20.2,13,65,1003.5
17/07/2024,0,19.9,8.8,62,1014.4
18/07/2024,0,21.5,16.6,58,1013.4
19/07/2024,0,24.1,12.8,58,1009.5
20/07/2024,0.1,22.2,13.1,69,999.6
21/07/2024,0,15.9,15.5,69,1005.6
22/07/2024,0,19.3,17,74,1005.4
23/07/2024,0.2,20.8,10.6,62,1013.3
24/07/2024,0,20.4,14.7,70,1012.7
25/07/2024,0.2,20.6,20.3,70,1001.7
26/07/2024,0.1,17.8,15.5,61,1004.5
27/07/2024,0,18,9,67,1008.2
28/07/2024,0,20.9,9.8,58,1019.5
29/07/2024,0,23.1,12.9,55,1015.2
30/07/2024,0,22.9,7.9,59,1013.2
31/07/2024,0,24.5,6.9,57,1010.1
01/08/2024,0,22.8,8.2,62,1007.8
02/08/2024,0,22.6,15.2,57,1004.7
03/08/2024,0,18.2,18.1,55,1005.3
04/08/2024,0,18,14.5,66,1008
05/08/2024,0,23.2,21.6,66,1002.5
06/08/2024,0.1,18.9,13.2,67,1001.7
07/08/2024,0,18.2,22.5,64,1003.2
08/08/2024,0.1,19.4,27.4,76,1002.8
09/08/2024,0,19.5,29.5,60,1006.9
10/08/2024,0.1,20.2,18.6,67,1011.1
11/08/2024,0,22.6,9.7,51,1015
12/08/2024,0.1,23.9,13.6,77,1000.5
13/08/2024,0,21.1,18.7,62,1001.6
14/08/2024,0,19.9,7.6,58,1009
15/08/2024,0.5,18,23,88,1002.6
16/08/2024,0,18.3,13.9,56,1009.8
17/08/2024,0.1,17.8,13.3,59,1007.3
18/08/2024,0.1,17.4,23.1,63,1007.8
19/08/2024,0.1,18.4,26.2,72,1006.1
20/08/2024,0,17.5,22.9,56,1001.5
21/08/2024,0.1,17.4,22.7,59,1008.6
22/08/2024,0,17,23.6,71,995.5
23/08/2024,0,16.6,33.3,59,997.1
24/08/2024,0.3,14.8,17.8,77,996
25/08/2024,0,15.9,29.8,64,1007.2
26/08/2024,0,18.2,17.7,67,1011.1
27/08/2024,0,18.8,17.7,70,1008.1
28/08/2024,0,19.1,21.8,67,1006.2
29/08/2024,0,17.7,17.5,60,1011.4
30/08/2024,0,18.4,4.3,60,1019
31/08/2024,0,18.6,14.5,57,1020.1
01/09/2024,0,22.1,15.5,67,1010.2
02/09/2024,0.2,20.1,11.2,85,1002
03/09/2024,0,16.9,14.5,65,1007.6
04/09/2024,0.1,15.3,7.3,69,1012.5
05/09/2024,0,17.8,27.5,78,1011.9
06/09/2024,0,23.4,31.8,67,1005.4
07/09/2024,0.1,21.7,13.5,69,1004.8
08/09/2024,3.4,17.8,7.6,89,997.2
09/09/2024,0,15.6,23.4,62,1006.1
10/09/2024,0,13.3,26,76,998.9
11/09/2024,0.2,11.9,23.6,70,1001.3
12/09/2024,0,13.4,13.2,57,1010.7
13/09/2024,0.1,13.4,10,63,1023
14/09/2024,0,17.7,17.4,66,1021.5
15/09/2024,0.2,15,16.9,87,1018.4
16/09/2024,0,16,2.9,73,1024.5
17/09/2024,0,17.8,3.4,69,1027.2
18/09/2024,0,17.9,12.1,67,1025.7
19/09/2024,0,18.5,20.2,70,1022.5
20/09/2024,0,18.4,24,73,1018.9
21/09/2024,0,20.4,20.2,64,1014.1
22/09/2024,0.2,16.8,21.7,80,1008.6
23/09/2024,0,16.4,20.2,80,998.9
24/09/2024,0.1,14.6,19.4,67,997.4
25/09/2024,0.1,12.3,10.2,83,992.1
26/09/2024,0,14.1,6.4,78,979.8
27/09/2024,0,12.6,21.8,57,1000
28/09/2024,0.3,12.3,13.7,69,1017.8
29/09/2024,0,12.6,17.3,69,1012.3
30/09/2024,3,12.6,19.3,91,997.2
01/10/2024,0.1,13.7,18.4,82,1004.3
02/10/2024,0,15.2,22.8,62,1013
03/10/2024,0,14.6,15,62,1017.3
04/10/2024,0,15.1,21.2,60,1013.8
05/10/2024,0,15.6,25.1,62,1006.7
06/10/2024,0,14.6,22.8,73,992.6
07/10/2024,0,15.6,15.5,75,990.3
08/10/2024,0,15.6,10.6,76,985.3
09/10/2024,0.2,13.3,19,80,982.6
10/10/2024,0,9.9,6.5,56,1002.7
11/10/2024,0,11,16.8,65,1010.1
12/10/2024,0.1,11.4,18.3,68,998.3
13/10/2024,0,9,6,65,1013.5
14/10/2024,0,12,11.1,58,1010.3
15/10/2024,0,13.7,18.3,80,1007.2
16/10/2024,1.5,16.9,16.5,89,994.1
17/10/2024,0,15.4,19.4,74,1001.8
18/10/2024,0.1,14.1,23.5,74,1004.9
19/10/2024,0.1,14.8,11.5,79,1004.2
20/10/2024,1.1,15.2,27.9,87,993.6
21/10/2024,0.1,14.1,25.8,63,1012.1
22/10/2024,0.1,14.1,18.2,70,1020
23/10/2024,0.1,13.2,12.2,79,1023.1
24/10/2024,0,15.2,25.3,76,1009.9
25/10/2024,0,15.6,15.4,85,1006.8
26/10/2024,0,14.1,12.8,79,1009.1
27/10/2024,0,11.5,13.1,67,1016.2
28/10/2024,0,15.9,10.3,88,1011
29/10/2024,0,14.9,12.3,81,1018.6
30/10/2024,0,13.8,6.2,80,1023.8
31/10/2024,0.1,11.8,12.9,85,1021.1
01/11/2024,0,13.1,17.6,76,1018.8
02/11/2024,0,14,14.7,75,1025.4
03/11/2024,0.1,13,9.3,75,1023.5
04/11/2024,0,12.1,11.2,71,1020.3
05/11/2024,0,12.4,4.6,82,1016.6
06/11/2024,0,13.1,9.2,84,1024.5
07/11/2024,0,12.6,14.9,83,1024.5
08/11/2024,0,10.9,12.1,71,1019.9
09/11/2024,0,8.6,0.8,76,1018.3
10/11/2024,0,11.4,6.6,84,1020.2
11/11/2024,0,10.8,8.4,79,1031
12/11/2024,0,10.1,11.2,78,1033.4
13/11/2024,0,7.3,2.3,93,1031.3
14/11/2024,0,11.4,4.7,78,1027.4
15/11/2024,0,8.1,3.8,90,1020
16/11/2024,0,10.2,7.8,82,1011.2
17/11/2024,0.1,7.3,7.3,82,1008
18/11/2024,0,4.2,0.7,82,1006.3
19/11/2024,0,4.2,6.5,73,995.1
20/11/2024,0,2.8,9.4,65,1003.9
21/11/2024,0,1,2.5,79,993.8
22/11/2024,0,3.5,5,88,1000.9
23/11/2024,1.8,8.9,25.2,94,984.3
24/11/2024,0,12.2,17.8,83,982.1
25/11/2024,0,9.1,17,71,990.5
26/11/2024,0,6.9,8.4,81,1008.2
27/11/2024,0,5.9,4.2,82,1009.2
28/11/2024,0,4.2,4,85,1022
29/11/2024,0,8.9,11.8,73,1016.4
30/11/2024,0,13,14.1,90,1013.8
01/12/2024,0,13.1,13.9,90,1002.3
02/12/2024,0.1,8.8,13.2,85,1005.2
03/12/2024,0,5.2,1.4,84,1016.9
04/12/2024,0,7.3,9.7,90,1016.8
05/12/2024,0,10.6,10.5,91,997.9
06/12/2024,0,8.1,7.3,81,1009.8
07/12/2024,0.1,7.1,29.2,75,985.6
08/12/2024,0,7.3,22.6,69,1019.6
09/12/2024,0,8.3,16,68,1031
10/12/2024,0,6.7,10.8,70,1031.1
11/12/2024,0,6.2,5.9,79,1029.3
12/12/2024,0,7.5,8,87,1026.8
13/12/2024,0.1,6,2.4,92,1019.8
14/12/2024,0,6.6,7.8,84,1016.1
15/12/2024,0.1,11.1,18,90,1019.7
16/12/2024,0,10.8,12.6,78,1021.2
17/12/2024,0,9.9,15.1,92,1013.6
18/12/2024,0.1,11.2,21.1,80,997.2
19/12/2024,0,6.2,14.8,71,1001.7
20/12/2024,0,8.1,15,80,1006.7
21/12/2024,0.1,10.4,24.3,79,998.6
22/12/2024,0,4.4,18.7,69,995.8
23/12/2024,0.1,5.2,4.8,85,1017.2
24/12/2024,0,11.4,13,94,1018.6
25/12/2024,0,10.8,8.8,91,1025.8
26/12/2024,0,9.3,5.5,90,1028.7
27/12/2024,0,6.4,1.9,93,1026.9
28/12/2024,0,5.8,3.3,91,1022.1
29/12/2024,0,8.7,10.7,84,1021.8
30/12/2024,0,10.1,14,78,1017
31/12/2024,0.1,10.8,22.6,76,1006
